league_id,name,alternate_name,sport,association
1,NCAAB,ncaab,basketball,ncaa.com
2,Premier League,epl,soccer,premierleague.com
3,LaLiga,lal,soccer,laliga.com
95,ACN,acn,,cafonline.com
5,Indian Premier League,ipl,cricket,iplt20.com
6,Women's National Basketball Association,wnba,basketball,wnba.com
7,Bundesliga,bun,soccer,bundesliga.com
8,Major League Baseball,mlb,baseball,mlb.com
9,CFB,cfb,american_football,ncaa.com
10,National Football League,nfl,american_football,nfl.com
11,Ligue 1,fl1,soccer,ligue1.com
12,Serie A,sea,soccer,legaseriea.it
13,UEFA Champions League,ucl,soccer,uefa.com
15,AFC,afc,,the-afc.com
16,OFC,ofc,,oceaniafootball.com
17,FIF,fif,soccer,fifa.com
18,ERE,ere,,eredivisie.eu
19,ARG,arg,,afa.com.ar
20,ITC,itc,soccer,legaseriea.it
21,MEX,mex,,ligamx.net
22,LCS,lcs,,leaguescup.com
23,LIB,lib,,conmebollibertadores.com
24,SUD,sud,,conmebolsudamericana.com
25,TUR,tur,,tff.org
26,CON,con,,conmebol.com
27,COF,cof,,concacaf.com
28,UEF,uef,soccer,uefa.com
29,CAF,caf,,cafonline.com
30,RUS,rus,,premierliga.ru
31,EFA,efa,,thefa.com
32,EFL,efl,,efl.com
34,National Basketball Association,nba,basketball,nba.com
35,NHL,nhl,,nhl.com
36,UEL,uel,soccer,uefa.com
38,DOTA2,dota2,esports,liquipedia.net
39,LOL,lol,esports,liquipedia.net
41,ODI,odi,,icc-cricket.com
42,T20,t20,,icc-cricket.com
43,ABB,abb,,bigbash.com.au
44,CSA,csa,,icc-cricket.com
45,ATP Tour,atp,tennis,atptour.com
46,WTA Tour,wta,tennis,wtatennis.com
33,MLS,mls,,mls.com
40,VAL,val,,liquipedia.net
37,CS2,cs2,,hltv.org
47,CWBB,cwbb,basketball,ncaa.com
148,WBC,wbc,baseball,mlb.com
49,CDR,cdr,soccer,laliga.com
50,MLBB,mlbb,,liquipedia.net
51,OW,ow,,liquipedia.net
96,CRBAN,crban,,icc-cricket.com
53,CODMW,codmw,,liquipedia.net
54,FIFA,fifa,,liquipedia.net
98,RUTOPFT,rutopft,,lnr.fr
56,PUBG,pubg,,liquipedia.net
57,R6SIEGE,r6siege,,liquipedia.net
58,RL,rl,,liquipedia.net
101,BKLIGEND,bkligend,,acb.com
103,BKNBL,bknbl,,nbl.com.au
61,COL,col,soccer,uefa.com
62,CDE,cde,,fff.fr
63,DFB,dfb,,dfb.de
64,BRA,bra,,cbf.com.br
65,JAP,jap,,jleague.jp
66,JA2,ja2,,jleague.jp
67,KOR,kor,,kleague.com
68,SPL,spl,,spl.com.sa
69,CHI,chi,,cfa.com.cn
70,AUS,aus,,aleague.com.au
71,IND,ind,,indiansuperleague.com
72,NOR,nor,,eliteserien.no
73,DEN,den,,superliga.dk
74,POR,por,,ligaportugal.pt
75,TEST,test,,icc-cricket.com
76,SHE,she,,cricket.com.au
77,SASA,sasa,,icc-cricket.com
78,LPL,lpl,,icc-cricket.com
79,PSP,psp,,icc-cricket.com
80,KBO,kbo,,koreabaseball.com
81,SHL,shl,,eliteprospects.com
82,CEHL,cehl,,hokej.cz
83,DEHL,dehl,,penny-del.org
84,SNHL,snhl,,nationalleague.ch
85,KHL,khl,,en.khl.ru
48,UFC,ufc,,ufc.com
86,AHL,ahl,,theahl.com
87,CRINT,crint,,icc-cricket.com
4,CBB,cbb,basketball,ncaa.com
91,CRAUS,craus,,icc-cricket.com
89,CRENG,creng,,icc-cricket.com
94,CRNEW,crnew,,icc-cricket.com
88,CRIND,crind,,icc-cricket.com
92,CRSOU,crsou,,icc-cricket.com
90,CRPAK,crpak,,icc-cricket.com
93,CRUAE,cruae,,icc-cricket.com
52,HOK,hok,,liquipedia.net
55,WILDRIFT,wildrift,,liquipedia.net
