league_id,team_id,name,alternate_name
7,101129,FC Bayern München,bay
7,101130,SC Freiburg,fre
7,101131,VfL Wolfsburg,wol
7,101132,1. FSV Mainz 05,mai
7,101133,VfB Stuttgart,stu
7,101134,RB Leipzig,lei
7,101135,BV Borussia 09 Dortmund,dor
7,101136,TSG 1899 Hoffenheim,hof
7,101137,FC Augsburg,aug
7,101138,1. FC Heidenheim 1846,hei
7,101139,1. FC Union Berlin,uni
7,101140,SV Werder Bremen,wer
7,101141,Borussia Mönchengladbach,moe
7,101143,Eintracht Frankfurt,ein
7,101144,VfL Bochum,boc
7,101145,FC St. Pauli 1910,pau
7,101146,Holstein Kiel,hol
7,101255,Bayer 04 Leverkusen,b04
7,114294,1. FC Köln,koe
7,114295,Hamburger SV,hsv
