league_id,team_id,name,alternate_name
2,100000,Newcastle United FC,Newcastle
2,100001,Wolverhampton Wanderers FC,Wolves
2,100002,Leicester,Leicester
2,100003,West Ham United FC,West Ham
2,100004,Manchester City FC,Man City
2,100005,Arsenal FC,Arsenal
2,100006,Crystal Palace FC,Palace
2,100007,Nottingham Forest FC,Forest
2,100008,Brentford FC,Brentford
2,100009,Aston Villa FC,Villa
2,100010,AFC Bournemouth,Bournemouth
2,100011,Fulham FC,Fulham
2,100012,Southampton,Southampton
2,100013,Everton FC,Everton
2,100014,Chelsea FC,Chelsea
2,100015,Brighton & Hove Albion FC,Brighton
2,100016,Manchester United FC,Man Utd
2,100017,Liverpool FC,Liverpool
2,100018,Tottenham Hotspur FC,Spurs
2,100019,Ipswich,Ipswich
2,114263,Sunderland AFC,sun
2,114264,Leeds United FC,lee
2,114265,Burnley FC,bur
