league_id,team_id,name,alternate_name
13,148234,Leicester City FC,lei1
13,148257,FC Schalke 04,s041
13,148266,AC Sparta Praha,spp1
13,148268,AFC Ajax,aja1
13,148271,APÓEL,apo2
13,148273,AS Monaco FC,asm1
13,148277,B36,b361
13,148279,BSC Young Boys,yob1
13,148282,Celtic FC,cel2
13,148286,Club Brugge KV,bru1
13,148288,Crusaders FC,cru1
13,148291,CS Fola Esch,fol2
13,148293,Dundalk FC,dun1
13,148297,FC Basel 1893,bas1
13,148299,SK Dila Gori,dil1
13,148303,FCI Levadia,lev3
13,148305,FC Midtjylland,mid1
13,148308,FC Milsami Orhei,mil2
13,148310,FC Porto,por1
13,148312,Pyunik FA,pyu1
13,148314,FC Red Bull Salzburg,rbs1
13,148316,FC Santa Coloma,fsc1
13,148318,FCSB,ste1
13,148320,FC Viktoria Plzeň,plz1
13,148322,FK Žalgiris Vilnius,zal1
13,148324,Fenerbahçe SK,fen1
13,148326,AS Trenčín,tre1
13,148331,Astana FK,ast4
13,148334,FK BATE Barysaŭ,bat2
13,148336,FK Dynamo Kyiv,dyn1
13,148339,FK Partizan Beograd,par2
13,148341,FK Rudar Pljevlja,rud1
13,148343,FK Sarajevo,sar1
13,148345,FK Shakhtar Donetsk,shd1
13,148347,FK Vardar Skopje,var1
13,148349,FK Ventspils,ven1
13,148351,FK Zenit,zen1
13,148353,Galatasaray SK,gal1
13,148357,GNK Dinamo Zagreb,din3
13,148359,Hibernians FC,hib1
13,148361,Helsingin JK,hjk1
13,148365,KAA Gent,gen1
13,148367,KF Skënderbeu Korçë,ske1
13,148369,KKS Lech Poznań,lep1
13,148373,Lincoln Red Imps FC,lin3
13,148375,MH Maccabi Tel Aviv,mta1
13,148377,Malmö FF,mal1
13,148379,Molde FK,mol1
13,148382,NK Maribor,mar2
13,148384,Olympique Lyonnais,lyo1
13,148386,Olympiakós SFP,oly1
13,148389,Panathinaikós AO,pao2
13,148391,Paris Saint-Germain FC,psg1
13,148393,PFK CSKA Moskva,csk1
13,148395,PFK Ludogorets 1945 Razgrad,lud1
13,148397,PSV,psv1
13,148399,Qarabağ Ağdam FK,qar1
13,148405,SK Rapid Wien,rap1
13,148407,Sport Lisboa e Benfica,ben1
13,148409,Sporting CP,spo1
13,148413,SS Folgore/Falciano,fol3
13,148417,The New Saints FC,tns1
13,148419,UMF Stjarnan,stj1
13,148426,Fehérvár FC,vid1
13,148447,AZ,az1
13,148449,FC Twente '65,twe1
13,148451,Feyenoord Rotterdam,fey1
13,148454,AEK Lárnakas,aek2
13,148460,AFC Astra Giurgiu,ast5
13,148462,AIK Fotboll,aik1
13,148464,Alashkert FA,ala1
13,148468,Apóllon Lemesoú,apo3
13,148470,AS Omónoia Leukosías,omo1
13,148472,Beşiktaş JK,bes1
13,148474,Brøndby IF,bro1
13,148476,Cork City FC,coc1
13,148478,Europa FC,eur1
13,148480,F91 Diddeleng,f911
13,148483,FC Déifferdeng 03,dif2
13,148487,SK Dinamo Batumi,bat3
13,148492,SK Dinamo Tbilisi,din4
13,148495,FC Flora,flo2
13,148497,FC København,kob1
13,148500,FC Sheriff Tiraspol,she2
13,148502,FC Spartak Trnava,trn1
13,148504,FC Zürich,fcz1
13,148506,Ferencvárosi TC,ftc1
13,148508,FH Hafnarfjörður,fhh1
13,148510,FK Budućnost Podgorica,bud1
13,148512,FK Crvena zvezda,crv1
13,148518,FK Dynama-Minsk,din5
13,148520,Qairat FK,kai1
13,148522,FK Krasnodar,kra1
13,148524,FK Kukësi,kuk1
13,148527,FK Lokomotiv Moskva,lok2
13,148529,OFK Titograd,mla1
13,148531,Ordabasy FK,ord1
13,148535,FK Partizani,par3
13,148537,FK Šachcior Salihorsk,sol1
13,148540,FK Spartaks Jūrmala,spa2
13,148542,FK Sutjeska Nikšić,sut1
13,148544,MH Hapoel Be'er Sheva,hbs1
13,148546,HB,hb1
13,148548,HNK Rijeka,rij1
13,148550,HŠK Zrinjski Mostar,zri1
13,148552,Rams Başakşehir FK,iba1
13,148554,Jagiellonia Białystok,jag1
13,148557,KF Shkëndija 79,shk2
13,148560,KF Víkingur,vik2
13,148562,KR Reykjavík,krr1
13,148564,Legia Warszawa,leg1
13,148569,Linfield FC,lin4
13,148571,MŠK Žilina,zil1
13,148573,Neftçi PFK,nef1
13,148577,NK Celje,cel3
13,148581,NK Lokomotiva Zagreb,lok3
13,148583,Nõmme Kalju FC,nom1
13,148585,Olympique de Marseille,olm1
13,148589,PAOK,pao3
13,148591,Rosenborg BK,rbk1
13,148593,Royal Standard de Liège,sta1
13,148595,RSC Anderlecht,and1
13,148597,Seinäjoen JK,sjk1
13,148599,Shamrock Rovers FC,shr1
